Colonne1	Colonne2
PSG : accord pour Georgen avec l’AZ Alkmaar : https://t.co/QdZoSNzYSJ      |      #TheVoice #DestinationEurovision	zero
Pourquoi ils se retournent pour les gens nuls et pas pour les biens #TheVoice	negative
Ça c'est pour Zazie #thevoice	zero
Pardon mais si vous prenez pas Aurélien alors que vous avez prit krill je vais m’énerver  #TheVoice	negative
RETOURNEZ VOUS BANDE DE FOU #TheVoice	negative
"tout le monde tweet ""mika c est étonnant il est calme sur son costume cette année"" mais matez bien c pour equilibré… https://t.co/BZVrCzOnPE"	zero
Alors passe sur #Netflix où il n’y a jamais des pubs dedans !! https://t.co/Au8GI6qkWt	zero
#thevoice Oh putain cette voix.. Mais retournez vous !	negative
OMG le chapeau qui chante du Moby, ce massacre #TheVoice	positive
non mais sérieux ils appuient pas ????????????????, !!!!!!  #TheVoice	negative
C'est moi où ils sont tous formatés ce soir ?\n#Thevoice	zero
1er coup de coeur : Aurélien #TheVoice	positive
Comment ils peuvent se poser la question si c’est un homme ou une femme ça s’entend non? #TheVoice	negative
Ca y est j'ai mon préféré de cette saison #TheVoice	positive
Tournez vous ptn #TheVoice	negative
#TheVoice #Aurélien Dès les premières notes, le niveau est là ! Enfin, une voix !	positive
Alors passe sur #Netflix où il n’y a jamais des pubs dedans !! https://t.co/anfCeWIkuh https://t.co/e4cOdCL3zd	zero
Sa voix est apaisante tout comme sa bouille, je l'aime déjà #TheVoice	positive
Ok, alors ça c’est typique le genre de voix que j’aime ! Ça me rappelle un peu un mélange de U2 et Imagine Dragons… https://t.co/nv73jIAcb8	positive
J'aime beaucoup  #TheVoice	positive
@TheVoice_TF1 Aurélien j'adore son grain de voix juste super #TheVoice #TF1	positive
je suis un peu chagrin pour l'homme au chapeau quand même. Faut se retourner #thevoice	negative
Aurélien moi je t'aime #TheVoice	positive
@ArnoLemaitre @viv_sansnom @dam_drums @mme_armada @NadetteWino Bon et il arrive quand le mec qui a la voix de Peter… https://t.co/KjaksQF4Fo	zero
Quel pied d’avoir @ObispoPascal dans #TheVoice ???????\n@nikosaliagas @TheVoice_TF1 https://t.co/bUliPcFwDx	positive
#TheVoice allez zazie il est barbu????	zero
ptnnnn je kiffe c trop beauuu #TheVoice	positive
Aaah bah quand même!!! #TheVoice	zero
#TheVoice tiens un rag'n bone man Français ? Pas mal !	positive
J'étais sur c'était elle qu'allait se retourner. #TheVoice	zero
Ah bah voilaaaa #TheVoice	positive
Enfin un coup de cœur #aurelien #thevoice	positive
Quand tu as le moral à Z : une piqûre de rappel de #FredAstaire et #GingerRogers et c'est bon. #talent #genius… https://t.co/pmYIMnL323	positive
Il est barbu ! #TheVoice	zero
Merci Zazou #TheVoice	zero
"Pour vous #TheVoice c'est : (Rt &amp; Fav')"	zero
#TheVoice wah mais j'veux les mm amis sur ce gars svp	zero
#thevoice j'adore la voix et la reprise de moby	positive
Les voix cassée comme ça je suis fan ! ?????? #TheVoice	positive
J'espère qu'ils vont se retourner, vu sa voix magnifique, il le mérite amplement ! #TheVoice	positive
Mon coup de cœur de la soirée je suis sous le charme @kriillmusic \nJ’aimerai tellement entendre ...Baby one more time revisité ???? #TheVoice	positive
Comment sa fait longtemp cette musique ????, merci Aurelien  #TheVoice	positive
Kriiil c'est pas mal, assez décalé  #thevoice	negative
Wow cest un monstre lui #thevoice	negative
C'est un genie j'aime trop faut qu'ils se retournent #TheVoice	positive
Il déchire Aurélien #TheVoice	positive
J’adore cette chanson et Aurélien l’a reprend vraiment bien. J’espère qu’il intégrera l’aventure ! #TheVoice	positive
"Aurélien : ""Mon rêve c'est de me lever le matin et de faire de la musique"".\nSi tu fais de la musique, tu ne te lève… https://t.co/yLpf4C17rh"	zero
mais il chante trop bien heureusement zazie elle s’est retournée ! #TheVoice	positive
je suis trop heureuse merci @Zazieonline #Thevoice	positive
Aurélien il fait des notes allez #TheVoice	zero
ptdr zazie pourquoi elle est tjrs pas retournée elle attend d'être sûre que c'est un mec jpense #TheVoice	zero
Omg lui j’adore vraiment! Coup de cœur #TheVoice	positive
Garou dans #Eurovision2018 et une fille de la Star’Ac dans  #TheVoice	zero
"#kriill = #Mika #Obviously #Bravo les garçons! &lt;3 @TheVoice_TF1 #thevoice7 #thevoice @TF1"	positive
#TheVoice j'adore	positive
hop le Mormont qui chante du Moby çest bien le style de lemission pourtant#TheVoice	zero
Aurélien on dirait une petite souris avec un trop grand corps... Il a l'air gêné par son corps. ?? #TheVoice	negative
Bon.. Je ne sais pas si c'est le choix des chansons ou les candidats... #TheVoice est un peu naze.	negative
Franchement ils ont faillit rater une perle là ! Ils se retournent pour les plus basiques #TheVoice	negative
Bon bah on aura pas de Kebab https://t.co/HqeXnRbmcg	zero
Et oui un barbu pour Zazie ?? #TheVoice	zero
J’adore ce genre de voix #TheVoice	positive
C'est la finale assurée pour moi https://t.co/qtMWDQCbky	zero
Faut y aller les gars la !!! On se retourne \nTrop bien #TheVoice	positive
Premier vrai coup de coeur #TheVoice @TheVoice_TF1 @nikosaliagas Whaou ???????? https://t.co/f5UDuuDXwq	positive
Hé bé... hight level cette année !!! https://t.co/GKf6WbohdW	positive
#TheVoice j’aime bcp bcp les duos dans the voice d’abord anagram et maintenant kriill ??	positive
Les voix comme ça, c'est magnifique #TheVoice	positive
Charmant ces amis ?? surtout avec la veste en jean  #TheVoice	positive
Florent il dors aujourd'hui ou quoi mdr c'est le seul qui a personne encore #TheVoice	zero
Une belle voix mais il tient pas assez les notes dommage j'en ai les frissons sérieux, merci @Zazieonline ...  #thevoice @TheVoice_TF1 #TF1	negative
Oh la voix de fou !! Canon ! Cents complément dingue ! J’adore @TheVoice_TF1 #TheVoice	positive
Encore le buzz entre 2 chaises ?@Zazieonline  ca fait mal ? #TheVoice  ???? allleez  j aime sa voix https://t.co/zxXJ8zR2sI	positive
Suspens jusqu’au bout grâce à @Zazieonline ?????? @nikosaliagas #TheVoice ?????????	zero
C'était trop de la bombe atomique @kriillmusic ???? j'ai trouvé mes chouchous ?? #TheVoice #TheVoice8	positive
ouf merci zazie quand même !!!!! la voix du type faut pas déconner !!! #TheVoice	positive
Un Edouard, un haut savoyard, un beau goss (lol), je sens que cette saison est la mienne #TheVoice	positive
j'adore omg #TheVoice	positive
Je l'écoute toute ma vie sans problème ce gars #TheVoice	positive
Les gens qui critiquent Zazie faut arrêter sérieux #TheVoice	negative
mais wsh retournez vous ! #TheVoice	zero
Ptdrr à chaque fois il disent qu’il adore, qui chante trop bien etc mais personne ne buzz ??#TheVoice	zero
Aurélien j’adore ta voix chaton  #TheVoice	positive
Eh j'ai eu peur pendant une micro seconde j'ai cru que personne allait le choisir #TheVoice	negative
En même temps, le gars a choisi un sample pour se valoriser. Un peu monotone. #TheVoice	negative
Tom sawyer qui a fumé des gitanes sans filtre#TheVoice	zero
Un grand barbu, forcément, c'est pour Zazie!  #TheVoice	zero
J'aime bien ce duo @kriillmusic Et pourtant je n'aime pas trop les duos?? #TheVoice	positive
@Sgc62 L’autre le blond #TheVoice	zero
Pourquoi chante-on “Natural Blues” sur The Voice? Pas bcp de paroles et ses paroles se répètent….. #TheVoice	negative
Mon premier réflexe a été de vouloir serrer Aurelien dans mes bras. J'ai comme un petit coup de coeur moi. #TheVoice	positive
Je sais pas si c'est un garçon ou une fille !  Zazie\n #TheVoice https://t.co/ZITMgvpdOS	zero
Wow Aurélien j'adooooore #TheVoice	positive
#TheVoice pratique la barbe d'Aurélien https://t.co/LIRH6y7Jip	zero
C'est interessant, ça chante bien par contre le chapeau à revoir #TheVoice	negative
Zazie et les barbus.. Grande histoire ?? #TheVoice	zero
#TheVoice bon je confirme ce mec (Aurélien) au chapeau de la star de mon enfance (babar) il est incroyable !!!	positive
#TheVoice et un barbu pour zaziev, elle les attire	zero
'tain énorme le casting 2018 de #TheVoice	positive
Aaaah merci zazie! #TheVoice	positive
Aurélien il fait partie de la police canadienne ?? #TheVoice https://t.co/v3adtCFPr4	zero
Faut quand même souligner que ça joue GRAVE derrière sur #theVoice.	positive
Il a un petit côté Zach Galifiniakis #TheVoice	zero
Hé hop, encore un barbu pour Zazie ??#TheVoice	zero
Il est top !  #thevoice	positive
Une sacré voix et il offre une belle émotion, je valide ??? #TheVoice	positive
"Bravo à Mkhitaryan qui est devenu ""ami d'Aurélien"" ! #TheVoice"	positive
Prestation génial d'Aurélien ! Bravo ?? #TheVoice	positive
OUI??????MERCI ZAZIE MERCI MIKA #TheVoice	positive
j’ai adoréééééé #TheVoice	positive
Ah ouai finally ils se st retournés je croyais qu’ils étaient des cons ces coachs le mec à une voix de malaaaade  #TheVoice	positive
Cheap Rag'n bone man. Pauvre comparaison avec la bande son d'après. #TheVoice	zero
Merci #Aurelien d'avoir fait honneur à ma belle région de Haute-Savoie ! Bravo !!\n#TheVoice	positive
J'ai eu peur que personne ne se retourne! #TheVoice	zero
J'adore Aurélien! J'avais eu un bon feeling sur lui ! #TheVoice	positive
ZAZIE : je ne sais pas si c'est un garçon ou une fille!\nO.R.L : Madame, vous avez besoin urgemment d'un appareil auditif! #TheVoice	zero
Yes ptn merci Zazie #TheVoice	zero
oula lala la jvais beaucoup t'aimer toi!!! Ce genre de voix là quoi... Si aucun ne s'était retourné je n'aurai vrai… https://t.co/gt43h1rVCG	positive
Aurélien va devoir quitter son job dans la police montée au Canada #TheVoice	zero
C'était trop de la bombe atomique @kriillmusic ???? j'ai trouvé mes chouchous ?? #TheVoice #TheVoice7	positive
Mouais.... #TheVoice	zero
"#NTX #TheVoice #LT &amp; vous vous kiffez aussi #Aurelien ?"	positive
OH PUTAIN J’ADORE #thevoice	positive
#TheVoice Aurélien Pinget fait partie du groupe @BearsTowers, perso j'ai adoré sa prestation, je suis totalement fa… https://t.co/3eqwUB17gu	positive
Ça y est elle a son barbu ?? #TheVoice	zero
Mdr la zik qui viennent de mettre c tout à fait le style de ce gars la  #TheVoice	zero
Je vous vois tous devant #TheVoice, mais moi je viens de finir la saison 2 de « Sense 8 » et je suis comme ça https://t.co/VbTQxoKN6U	zero
JE RIS SEULE DANS MON SALON ET JE N'AI (PRESQUE) PAS HONTE ?????????? https://t.co/78yJjVHcav	negative
J’adore Aurélien ! Sa voix à un truc en plus ! ????Tres bon choix de musique en plus ??#TheVoice	positive
Aurélien l'homme à la barbe et un chapeau va t il  séduire #TheVoice ! https://t.co/aB9cLDNYxI	zero
#TheVoice J'aime bien sa voix :)	positive
@Zazieonline et @mikasounds se retourne pour aurélien #TheVoice https://t.co/6B3nybTSOl	zero
Mes qu'il est mignon ??  #TheVoice	positive
Aurélien je Le surkiff de fouuuuuuuuuu #TheVoice	positive
Mais pourquoi ils mettent des tonnes de reverb comme dans les années ‘80 ?  #TheVoice	zero
Il a une bouche rikiki lui... #TheVoice \n#Aurelien	zero
Ah ah et @TheVoice_TF1 qui balance le vrai juste après ! https://t.co/RJ6loRngbv	zero
Le mec a 10000 fois plus de talent et de voix que le duo comique en autotune d’avant!!! Bravo!!! #TheVoice #TheVoice7	positive
Hey mais TF1 ils piochent tous leurs candidats dans le 11ème c'pa possible #TheVoice	zero
MDRRR jdis qu’il ressemble à reg’n’bone man et ils foutent la musique en fond #thevoice	zero
Aurélien truc de ouuuuuf!!!! #TheVoice	positive
"Il est dingue  !!! Ouf !!! Merci zazie ;) #TheVoice"	positive
Oh #thevoice ... Que des souvenirs ! ????	zero
je pensais qu'il allait chanter une de ses chansons #TheVoice https://t.co/FH2f2Mpgdf	zero
C’était juste magnifique bravo Aurélien ????  #TheVoice	positive
#TheVoice putain il a un truc spécial quand il chante ??	zero
Ils ont intérêt à se retourner!!!! #TheVoice	zero
MDRRRR MIKA #TheVoice	zero
Mdr zazie et ses barbus?? #TheVoice	zero
Oh les batards ils ont mis la chanson du gros la?? #TheVoice	negative
Wow j'ai adoré ! #TheVoice	positive
Aurélien, une bonne raison de continuer à regarder #TheVoice	positive
Les connards qui transforment #Thevoice en The Fleuve on aurait du vous avorter ! #InondeUneEmission	negative
Il a une putin de voix #TheVoice	positive
#TheVoice le gars a bien revisiter Moby	zero
La maman de Rebecca n’a pas embrassé sa fille bien longtemps,très vite expédié pour Pascal Obispo#TheVoice	negative
#TheVoice dans la famille je crie et je suis sûr qu'un coach va se retourner quitte à déformer la chanson je demand… https://t.co/k42b9lTntM	zero
#TheVoice indiana jones a bien vieilli.	zero
@mikasounds il me tue de rire ?????? #TheVoice	zero
Lui je pense vraiment qu’il ira avec zazie #thevoice	zero
#TheVoice magnifique https://t.co/c3xc4GUllT	positive
Qu’est ce qu’on vient de dire ? Un barbu, aussitôt Zazie se retourne #TheVoice	zero
Sa y es zazie a craqué#TheVoice	zero
Et bah y'a du niveau quand même #TheVoice	positive
Le style de voix que j’aime, ça prend à chaque fois. #TheVoice	positive
Le mec honnêtement niveau timbre c'était le meilleur de la soirée  #thevoice	positive
#TheVoice comme par hasard ils mettent du #ragnbone ??	zero
Ce genre de voix ..Une valeur sûre ?? #Aurelien #TheVoice	zero
@kriillmusic Whoua trop cool votre presta' !! ?? #TheVoice	positive
Ils avaient intérêt à se retourner pour Aurélien !! #TheVoice	zero
j’aime bcp #thevoice	positive
Malo j’supporte pas sa chanson on dirait un chat qui miaule frère #TheVoice	negative
Quand j'arrive à devinner quel coach va se retourner avant même que le talent ne chante #TheVoice ??	zero
YES VA Y AURÉLIEN! Cette voix est incroyable autant que a la télé que en concert, les Bears Towers (son groupe) son… https://t.co/NJOvg9jSEj	positive
Note à moi même : muter #TheVoice	zero
MAIS ARRÊTEZ D'ESSAYER DE DEVINER SI C'EST UN GARÇON OU UNE FILLE VOUS VOUS PLANTEZ CINQ FOIS SUR SIX LES VOIX C'ES… https://t.co/QeLgNA47xa	negative
Aurélien....et de deux! #thevoice	zero
Objectivement #DestinationEurovision2018 est une belle émission. Bonne programmation, y'en a pour tous les goûts ça… https://t.co/ZrO8JK5Awr	positive
#thevoice Normal on se retourne, il est bon lui!	positive
Pas mal Aurélien J'adore #TheVoice	positive
Aaah oui c vrai c'est zazie ?????? #TheVoice	zero
Ah @mikasounds a un souci avec les barbus ?????? @nikosaliagas #TheVoice ?????????	zero
Il était bon, lui, le barbu. #TheVoice	positive
Aurélien il as une vraie voix ?? #TheVoice	positive
Mika me fera toujours rire, les expressions de son visage c’est tellement à pouffer de rire ?? #TheVoice	positive
Aurélien je suis trop fan ! #TheVoice	positive
J'ai cru qu'ils allaient jamais se retourner. J'ai eu peur. #TheVoice	negative
Je vois flou. #TheVoice https://t.co/HlHJhqmUHg	zero
"#TheVoice Mika "" ha ça commence mal, il a une barbe , j'aime les barbes, c pas le pb, mais les Barbus vont toujours… https://t.co/AthwE1OOlm"	negative
T'as 23 ans? Mais tu fais plus !\n #TheVoice	zero
Après un deuxième visionnage, @kriillmusic reste toujours mon coup de cœur de #TheVoice pour le moment !	positive
Aurélien j'ai beaucoup aimé ! Très bonne prestation. #TheVoice	positive
c'est moi ou elle a la même voix que cardi bof ? https://t.co/knj94CJKo0	zero
De ouf ?? https://t.co/oJVwehDjOf	positive
C’est la barbe qui fais tout ?? #TheVoice	zero
Je le trouvais génial moi #TheVoice	positive
Mais #TheVoice remettez les noms ,merci!	zero
Destiny 2 : Cette semaine chez Bungie, La Bannière de Fer revient : https://t.co/yfh0neEnZp      |      #TheVoice #DestinationEurovision	zero
Mika choquer sur l'âge de Aurélien  #TheVoice	zero
Je viens de zapper sur la une ils ont vraiment l'air con tous les 4 ils sont là parce que la place est bonne et surtout le chèque #TheVoice	negative
Pagny faudrait songer à se retourner #TheVoice	zero
Difficile de savoir si c'est un garçon ou une fille. Mais quelle bande de cons... #TheVoice	negative
Je comprends pas trop les coachs parfois... ce gars méritait 4 fauteuils retournés ! ???? #TheVoice	zero
Coup de ?? pour la sublime voix d’Aurélien #TheVoice	positive
Il fait plus que 23 ans wow #TheVoice	zero
J'aime bien Aurelien sa voix m'a fait des frissons #TheVoice sur du vrai rock ça doit déchirer ! !!!	positive
Mais pourquoi est-ce que tu as une barbe ?\nMême Mika l'a compris. #TheVoice	zero
#Aurélien super voix???? #TheVoice????	positive
J'ai eu peur qu' il le prenne pas ils aurait été fou de le laissez passer ! #TheVoice	negative
#thevoice bon je valide Aurélien aussi, j'adore ce genre de voix	positive
Oh non mais pourquoi tu as une barbe? Jpp c'est trop ?? #TheVoice	zero
Je kiff ce genre de voix  #TheVoice	positive
#Arnis #Moby #TheVoice  beau grain de voix! Il s’est bien battu! La fin m’a convaincue	positive
Mais quel voix popopopopo #TheVoice	positive
#TheVoice A quand des titres interprétés en français ?	zero
Ils se sont tous retournés pour la nullos qui a chanté Lucie et personne pour Aurélien? ?? #thevoice	negative
Grosse victoire de la @teambarbus cette annee! #TheVoice	positive
Les gens ac les barbes vont tjrs dans l'équipe de Zazie! Mika?????? #TheVoice	zero
Aurélien me fait pensé a rag bon man physiquement et vocalement.#TheVoice	zero
Destiny 2 : Cette semaine chez Bungie, La Bannière de Fer revient : https://t.co/UeLBMKGHkF      |      #TheVoice #DestinationEurovision	zero
"Aurélien : ""Mon rêve c'est de me lever le matin et de faire de la musique"".\nSi tu fais de la musique, tu ne te lève… https://t.co/fC1eNVqC97"	zero
ça existe encore #thevoice ptn	zero
TB #TheVoice\nRien de + efficace pour un samedi soir canapé :-)	positive
« C’estjuste que les gens avec une barbe ils vont toujours dans l’équipe de Zazie » ???? Excellent Mika ?? #TheVoice	zero
Mdrr il y a le groupe d'Olivier sur The Voice #TheVoice	zero
Aurélien il a quelque chose dans sa voix ?? #TheVoice	zero
oui. ils sont dingues https://t.co/fynrr3ImCu	negative
#TheVoice #Aurelien j'ai été envoûté... Merci ??	positive
IL A 23ANS ???! ?? #TheVoice	zero
Niveau jury, à part Zazie que je kiffe pas trop, c’est de très loin le meilleur casting. Mika, Pascal Obispo et Flo… https://t.co/TBD5WdrhvG	negative
"VIDÉO - Rébécca fait pleurer Pascal Obispo avec sa reprise de ""Lucie"" dans ""The Voice"" #TheVoice https://t.co/O9XgUdnucv"	zero
@ObispoPascal nous emmène dans ses émotions. L'artiste séduit par sa timidité. #TheVoice @nikosaliagas… https://t.co/vHoc2G2AW4	positive
Ca sert à rien d'appuyer mika ce genre de candidats ça choisi tjrs zazie #TheVoice	negative
"@ObispoPascal  sensible au point d'être ému aux larmes par l'interprétation de sa chanson ""Lucie""... ??\n@TF1… https://t.co/7BUfFGYbVG"	zero
Mdrrrr Mika : « Oh non ça commence mal, il a une barbe » ?? #TheVoice	zero
J'ai eu peur que personne aller se retourner ?? #TheVoice	negative
il est pour @Zazieonline #thevoice	zero
S’ils prennent pas un mec avec une telle voix je comprend pas #TheVoice	negative
Aurélien, j'adore #TheVoice	positive
"J'ai pas de problème avec ta barbe, c'est juste qu'en général, les gens avec de la barbe vont dans l'équipe de Zaz… https://t.co/in97GJh7Il	""J'ai pas de problème avec ta barbe, c'est juste qu'en général, les gens avec de la barbe vont da"	zero
#TheVoice le casque sur les oreilles et le volume à fond pour #NaturalBlues de #Moby \n\nBravo #Aurelien \n\n@TheVoice_TF1 @nikosaliagas #TF1	zero
#TheVoice AURÉLIEN ! Merci @Zazieonline bordel ! ??	positive
Zazie elle aime bien les barbus ba, Nicos voyons #TheVoice	positive
Non mais sa voix whouaaaaa ! ??#TheVoice	zero
"Ce qu'il donc on n'aura probablement pas de gamins débiles insipides qui même s'ils gagnent ne feront pas carrière."""	zero
Mika mais je l'adore quoi! ?? #TheVoice	positive
C’est pas le style de mika même s’il s’est retourné #thevoice	negative
Duo chez Mika et barbu chez Zazie HOP !  #TheVoice	zero
Y’a des types sur TheVoice ils sont à foutre des frissons ! ?? #TheVoice	positive
@TheVoice_TF1 Aurélien le barbu a une voix de malade #TheVoice	zero
aurélien 23 ans ????????????? et bin en tout cas ça voix c'est une tuerie !! #TheVoice	positive
Mais il me tue Mika #TheVoice	positive
Salon du Livre 2017 de Francfort https://t.co/LoxeDAKVmC   #TheVoice	zero
les frissons. #TheVoice	positive
Rebecca tu es bouleversante..? #TheVoiceFR #Lucie #TheVoice	positive
Quand Mika revient en Belgique, je fonce directement à sa tournée. Ça me manque tellement de le voir en concert ?? #TheVoice	positive
Les barbus vont dans l'équipe de Zazie. Entre mecs ils se comprennent ??\n#TheVoice	zero
Aurélien a 23 ans. Je viens de prendre une claque. #TheVoice	zero
Les gens avec des barbes vont toujours dans l'équipe de @Zazieonline #TheVoice https://t.co/6wykBiCfFh	zero
"Mika il lui a sorti un ""T AS 23 ans"" de la même manière qu'on me dit 'T AS CET AGE???"" ??\nAurélien, je comprends. #TheVoice"	zero
c pour sazie elle aime les barbes !! https://t.co/gGSf4jG253	positive
Tellement la voix est énorme ! #TheVoice !	positive
« Oh nan ça commence mal il a une barbe! Comment tu t’appelles? »\n-Aurélien\n« Pourquoi t’as une barbe? »???? #TheVoice	negative
J'ai cru qu'ils allaient le laisser partir, JE N'AURAIS PAS TOLÉRÉ ÇA. CLAIREMENT. #thevoice	negative
Sympa mais je ne me serais pas retournée #thevoice	negative
Aurelien fait complètement vibrer avec cette façon de chanter #theVoice	positive
Mais c'est le gars #TheVoice https://t.co/EGt1oKh3NN	zero
Si personne ne ce retourner la... Je zappé. #TheVoice	negative
Comment est il possible de savoir le nom du groupe d’Aurélien? Parce que cette voix là ?? #thevoice	zero
Je l'aime d'amour lui c'est bon sa voix son style tout ? #TheVoice	positive
Il a  tellement raison Mika l’année dernière il y avait que ça dans l’équipe de zazie ????????#TheVoice	zero
Mon coup de ?? du soir ?? #TheVoice https://t.co/jbYmp7HsNN	positive
Allez, après Dépêche Mode, vlà Rag n' Bone .. Quelqu'un avec une personnalité c'est prévu entre les pubs ? #TheVoice	zero
#TheVoice le mec barbu qui vient de chanter du #moby waouw la voix cassé sublime #tf1	
C est le fils de zztop #TheVoice	
Zazie aime quand il y a les poils pardon \nelle aime les barbues ????????????\n #thevoice	
"Un barbu pour zazie ;un duo pour mika ..quoi dautre? Ah une fan pour pascal\n#TheVoice"	
Mais elle est trop belle ptn https://t.co/HNpmuLjRR7	
Les jeunes c'est plus c'que c'était. Le mec à 23a et en fait 10 de plus. #TheVoice	
Excellent @mikasounds ce soir !! ???? #TheVoice	
Je me régale d'avance de cette saison, j'adore les jurés \n#thevoice	
Chanson de merde et artiste de merde ???? https://t.co/OrpEUptXMM	
Aurélien a une très belle voix #TheVoice	
Wow ! J'ai eu peur que personne ne se retourne.. cette voix à la Rag'N'Bone Man c'est top #TheVoice	
J'aime beaucoup Aurelien ?? #TheVoice	
eh j’ai bien aimé moi #TheVoice	
Mika est d'accord avec moi ???? #TheVoice	
J’ai toujours bien aimé l’argumentation de Mika, toujours très structuré et sincère. #TheVoice	
#TheVoice @ZazieOnline et @Mikasounds se sont tournés pour Aurélien ! Selon vous, quel coach va-t-il choisir ? https://t.co/OZKttvOS8s	
23 ans eh bah mon frère change de look sinon tu auras Bcp de Problèmes à faire comprendre aux gens que tu les as ces 23 ans .\n???????? #TheVoice	
vachement bien aussi lui, beau grain de voix #TheVoice	
Je trouve beau les mecs comme Aurélien. Ta envie dlui faire des bisous et passer tes doigts dans sa barbe. Un nounours. #TheVoice	
Barbu barbu, bouffe moi le cul.\n\n#TheVoice https://t.co/GuJ15xXoig	
"Mika : ""mais pourquoi t'as une baaarbe???"" Excellent#TheVoice"	
j’adoooore sa voix #TheVoice	
Yussef dit qu'il est tombé amoureux d'Ecco. Y a de quoi. #TheVoice	
Nous, c'est notre rêve aussi, mais de mater du porno tout le temps #TheVoice https://t.co/oTNlV9kv2O	
#Aurélien quel voix ! #TheVoice	
Et bim zazieca la ramène moins  #Thevoice	
Ce vieux yaourt #TheVoice	
Sauvez Zazie??#TheVoice	
Aurélien, c’était ouf. Bravo! #TheVoice	
#TheVoice entre ecco, Édouard Édouard juste un pur bonheur. Ils sont sublimes. Quant à pascal obispo aaahhh trop tr… https://t.co/uw7NJUXUTc	
Aurélien n’a que 23 ans, on en parle? Il a une voix de dingue par contre. #TheVoice	
Après le rouler-bourré, le pleurer-chanter\n#Thevoice	
Zazie au fait t'as eu combien au bac en LV2 anglais ??? ?? ?? ?? ?? #TheVoice	
Quel voix Aurélien !! Ça commence super fort cette saison ?? #TheVoice#TheVoice	
J’adore sa voix et ses yeux ?? #TheVoice	
La barbe Laïque accepté que si elle est Rousse ou porté avec un Chapeau #TheVoice7 #TheVoice https://t.co/1FljNSgGQT	
Je le vois très bien chanter du Rag'n'Bone lui ???? #TheVoice	
Avouez, sans Mika, #TheVoice ce serait pas pareil quand même	
@nikosaliagas tjrs autant de classe  a la présentation    #TheVoice	
Chapitre 2, Zazie flash encore une fois sur les barbus #thevoice	
Les jumeaux ils sont grave mims??? #TheVoice	
J'aime trop la voix d'Aurelien #TheVoice	
#TheVoice @Zazieonline conjugue moi le verbe pleurchanter au subjonctif de l'imparfait.	
@Bastii3N Pas du tout devant ma tv!! Next time ! Bon #thevoice !	
j'adooore ce genre de voix rauque comme celle d'Aurelien #TheVoice	
#TheVoice Zazie: je sais pas si quelqu'un prend de la cocaïne dans le public. Mais c'est terrible. Tu prends 1 gram… https://t.co/bU0LwqHwi3	
"Je comprends pas pourquoi le jury répète à chaque fois l'âge du candidat en criant interrogativement. ""Dix huit ANS… https://t.co/hz6JIedcu3"	
J'adore ce genre de voix   #TheVoice  #Aurelien	
Aurelien c'est le Rag'n'bone man Français ?????? #TheVoice	
Le géant chinois Tencent investit dans le studio hollywoodien Skydance Media : https://t.co/E4Iy8iNPfv      |… https://t.co/Dgx0Qs4cVb	
Aurelien et ses potes sur The Voice j'aurais jamais penser les voir là ça fait bizarre ?? #TheVoice	
23 ans. Mon égal ? ???????????? c'est quoi ce look ? #TheVoice	
Superbe émission ce soir !!!!! Que de talentsss ????????\nUne belle saison qui s annonce #TheVoice #tf1 #NikosAliagas	
"Il y a du ""pleure chanté"" dedans ?? Toujours à inventer des expressions, Zazie #TheVoice"	
23 ans? Je lui aurais donné 30 ans #TheVoice	
#TheVoice et pour le KaraoKé de @com_kazakar vous vous retournez ? https://t.co/TGBUzptopZ	
Zazie  adore cette chanson d’ailleurs elle la chante aussi très bien?????? #TheVoice\n\nhttps://t.co/IptWbhE5u4	
Zazie adore cette chanson, elle connaît même pas le titre ???? #TheVoice	
Tous devant #TheVoice !  @TheVoice_TF1	
Petit cours d’anglais avec zazie ce soir. Les profs d’anglais en pls devant leurs tv...\n#TheVoice	
Barbu...non rien\n#Thevoice	
Mais ta bouche aussi. https://t.co/LzQYmSNq8X	
Allez un nouveau mot « c’est un pleuré chanter «  mdr !#TheVoice	
Aurélien j'adooooore #TheVoice	
@AlvyZame Oh ouiii... tu m'avais captivée dès cet instant !! ???? #TheVoice	
Le mec reprend Zazie ?? #TheVoice	
La tendance se confirme les talents barbus pour @Zazieonline #TheVoice	
Y’a des types sur TheVoice ils sont à te foutre des frissons ! ?? #TheVoice	
Zéro chill, Aurélien reprend Zazie sur la traduction de la chanson. C'est propre ??#TheVoice	
Aurélien beau grain de voix tout en voix pleine. @TheVoice_TF1 @TF1 @florentpagny @ObispoPascal @Zazieonline… https://t.co/lXSt6lWNoz	
?????????? moi de ouf https://t.co/U7esrpqRaI	
GG Aurel ! #TheVoice	
#TheVoice et voilà un barbu chez Zazie, pas étonnant	
Je sais pas d'où tu viens mais je crois que t'as déjà eu plusieurs voyages avant ca ????????????\n@Zazieonline @nikosaliagas #TheVoice	
La petite zazi cherche à ce faire fourrer c’est pas possible #TheVoice	
"Zazie ""J'adore cette chanson"" ... Zazie encore - ne connait pas les paroles MDR ???? #TheVoice"	
Jcrois jsuis tombée amoureuse ptn https://t.co/3BvBow3Oka	
MDRRR le gros fail de Zazie ??#TheVoice	
Mignons les deux jumeaux, amis d’Aurélien. #TheVoice	
